EthnologueLanguageID,EthnologueCountryID,EthnologueLangStatusID,Name
mpi,CM,L,Mpade
mpj,AU,L,Martu Wangka
mpk,TD,L,Mbara
mpl,PG,L,"Watut, Middle"
mpm,MX,L,"Mixtec, Yosondúa"
mpn,PG,L,Mindiri
mpo,PG,L,Miu
mpp,PG,L,Migabac
mpq,BR,L,Matís
mpr,SB,L,Vangunu
mps,PG,L,Dadibi
mpt,PG,L,Mian
mpu,BR,L,Makuráp
mpv,PG,L,Munkip
mpw,BR,N,Mapidian
mpx,PG,L,Misima-Paneati
mpy,ID,N,Mapia
mpz,TH,L,Mpi
mqa,ID,L,Maba
mqb,CM,L,Mbuko
mqc,ID,L,Mangole
mqd,MY,L,Madang
mqe,PG,L,Matepi
mqf,ID,L,Momuna
mqg,ID,L,"Malay, Kota Bangun Kutai"
mqh,MX,L,"Mixtec, Tlazoyaltepec"
mqi,ID,L,Mariri
mqj,ID,L,Mamasa
mqk,PH,L,"Manobo, Rajah Kabunsuwan"
mql,BJ,L,Mbelime
mqm,PF,L,"Marquesan, South"
mqn,ID,L,Moronene
mqo,ID,L,Modole
mqp,ID,L,Manipa
mqq,MY,L,Minokok
mqr,ID,N,Mander
mqs,ID,L,"Makian, West"
mqt,TH,N,Mok
mqu,SD,L,Mandari
mqv,PG,L,Mosimo
mqw,PG,L,Murupi
mqx,ID,L,Mamuju
mqy,ID,L,Manggarai
mqz,PG,L,Malasanga
mra,TH,L,Mlabri
mrb,VU,L,Marino
mrc,US,L,Maricopa
mrd,NP,L,"Magar, Western"
mre,US,E,Martha's Vineyard Sign Language
mrf,ID,L,Elseng
mrg,IN,L,Miri
mrh,IN,L,"Chin, Mara"
mri,NZ,L,Maori
mrj,RU,L,"Mari, Western"
mrk,NC,L,Hmwaveke
mrl,FM,L,Mortlockese
mrm,VU,L,Merlav
mrn,SB,L,Cheke Holo
mro,BD,L,Mru
mrp,VU,L,Morouas
mrq,PF,L,"Marquesan, North"
mrr,IN,L,Maria
mrs,VU,N,Maragus
mrt,NG,L,Marghi Central
mru,CM,L,Mono
mrv,PF,L,Mangareva
mrw,PH,L,Maranao
mrx,ID,L,Maremgi
mry,PH,L,"Mandaya, Karaga"
mrz,ID,L,Marind
msa,MY,L,Malay (macrolanguage)
msb,PH,L,Masbatenyo
msc,GN,L,"Maninka, Sankaran"
msd,MX,L,Yucatec Maya Sign Language
mse,TD,L,Musey
msf,ID,L,Mekwei
msg,ID,L,Moraid
msh,MG,L,"Malagasy, Masikoro"
msi,MY,L,"Malay, Sabah"
msj,CD,L,Ma
msk,PH,L,Mansaka
msl,ID,L,Molof
msm,PH,L,"Manobo, Agusan"
msn,VU,L,Mosina
mso,ID,L,Mombum
msp,BR,E,Maritsauá
msq,NC,L,Caac
msr,MN,L,Mongolian Sign Language
mss,ID,L,"Masela, West"
mst,PH,L,"Mandaya, Cataelano"
msu,PG,L,Musom
msv,CM,L,Maslam
msw,GW,L,Mansoanka
msx,PG,L,Moresada
msy,PG,L,Aruamu
msz,PG,L,Momare
mta,PH,L,"Manobo, Cotabato"
mtb,CI,L,Anyin Morofo
mtc,PG,L,Munit
mtd,ID,L,Mualang
mte,SB,L,Mono
mtf,PG,L,Murik
mtg,ID,L,Una
mth,ID,L,Munggui
mti,PG,L,Maiwa
mtj,ID,L,Moskona
mtk,CM,L,Mbe'
mtl,NG,L,Montol
mtm,RU,E,Mator
mtn,NI,E,Matagalpa
mto,MX,L,"Mixe, Totontepec"
mtp,BO,L,Wichí Lhamtés Nocten
mtq,VN,L,Muong
mtr,IN,L,Mewari
mts,PE,L,Yora
mtt,VU,L,Mota
mtu,MX,L,"Mixtec, Tututepec"
mtv,PG,L,Asaro'o
mtw,PH,L,Magahat
mtx,MX,L,"Mixtec, Tidaá"
mty,PG,L,Nabi
mtz,GT,L,Tacanec
mua,TD,L,Mundang
mub,TD,L,Mubi
muc,CM,L,Mbu'
mud,RU,N,"Aleut, Mednyj"
mue,EC,L,Media Lengua
mug,CM,L,Musgu
muh,SD,L,Mündü
mui,ID,L,Musi
muj,TD,N,Mabire
muk,NP,L,Mugom
mum,PG,L,Maiwala
muo,CM,L,Nyong
mup,IN,L,Malvi
muq,CN,L,"Hmong, Eastern Xiangxi"
mur,SD,L,Murle
mus,US,L,Muskogee
mut,IN,L,"Muria, Western"
muu,KE,N,Yaaku
muv,IN,L,Muthuvan
muw,IN,L,Mundari
mux,PG,L,Mbo-Ung
muy,CM,L,Muyang
muz,ET,L,Mursi
mva,PG,L,Manam
mvb,US,E,Mattole
mvc,GT,L,"Mam, Central"
mvd,ID,L,Mamboru
mve,PK,L,Marwari
mvf,CN,L,"Mongolian, Peripheral"
mvg,MX,L,"Mixtec, Yucuañe"
mvh,TD,L,Mire
mvi,JP,L,Miyako
mvj,GT,L,"Mam, Todos Santos Cuchumatán"
mvk,PG,L,Mekmek
mvl,AU,E,Mbara
mvm,CN,L,Muya
mvn,PG,L,Minaveha
mvo,SB,L,Marovo
mvp,ID,L,Duri
mvq,PG,L,Moere
mvr,ID,L,Marau
mvs,ID,L,Massep
mvt,VU,L,Mpotovoro
mvu,TD,L,Marfa
mvv,MY,L,Tagal Murut
mvw,TZ,L,Machinga
mvx,ID,L,Meoswar
mvy,PK,L,"Kohistani, Indus"
mvz,ET,L,Mesqan
mwa,PG,L,Mwatebu
mwb,PG,L,Juwal
mwc,PG,L,Are
mwd,AU,N,Mudbura
mwe,TZ,L,Mwera
mwf,AU,L,Murrinh-Patha
mwg,PG,L,Aiklep
mwh,PG,L,Mouk-Aria
mwi,VU,L,Labo
mwj,AO,L,Maligo
mwk,ML,L,"Maninkakan, Kita"
mwl,PT,L,Miranda do Douro
mwm,TD,L,Sar
